campus_id,poi_id,name,category,priority,file,source,source_post_id,source_post_title
weijinlu,weijinlu-newton-tree,牛顿苹果树,文化/景观,P1,weijinlu/weijinlu-newton-tree-1.jpg,user,,
weijinlu,weijinlu-newton-tree,牛顿苹果树,文化/景观,P1,weijinlu/weijinlu-newton-tree-2.jpg,user,,
beiyangyuan,beiyangyuan-datong-center,大通学生中心,服务,P1,beiyangyuan/beiyangyuan-datong-center-1.jpg,user,,
beiyangyuan,beiyangyuan-datong-center,大通学生中心,服务,P1,beiyangyuan/beiyangyuan-datong-center-2.jpg,user,,
beiyangyuan,beiyangyuan-earthquake-facility,国家大型地震工程模拟研究设施,教学/科研,P1,beiyangyuan/beiyangyuan-earthquake-facility-1.jpg,user,,
beiyangyuan,beiyangyuan-earthquake-facility,国家大型地震工程模拟研究设施,教学/科研,P1,beiyangyuan/beiyangyuan-earthquake-facility-2.jpg,user,,
beiyangyuan,beiyangyuan-earthquake-facility,国家大型地震工程模拟研究设施,教学/科研,P1,beiyangyuan/beiyangyuan-earthquake-facility-3.jpg,user,,
beiyangyuan,beiyangyuan-east-gate,北洋园校区东门,校门,P1,beiyangyuan/beiyangyuan-east-gate-1.jpg,user,,
beiyangyuan,beiyangyuan-east-gate,北洋园校区东门,校门,P1,beiyangyuan/beiyangyuan-east-gate-2.webp,user,,
beiyangyuan,beiyangyuan-gaokao-wall,恢复高考纪念墙,文化/景观,P1,beiyangyuan/beiyangyuan-gaokao-wall-1.jpg,user,,
beiyangyuan,beiyangyuan-gaokao-wall,恢复高考纪念墙,文化/景观,P1,beiyangyuan/beiyangyuan-gaokao-wall-2.jpg,user,,
beiyangyuan,beiyangyuan-gym,综合体育馆,体育,P1,beiyangyuan/beiyangyuan-gym-1.jpg,user,,
beiyangyuan,beiyangyuan-gym,综合体育馆,体育,P1,beiyangyuan/beiyangyuan-gym-2.jpg,user,,
beiyangyuan,beiyangyuan-main-building,北洋园校区主楼,教学/科研,P1,beiyangyuan/beiyangyuan-main-building-1.webp,user,,
beiyangyuan,beiyangyuan-main-building,北洋园校区主楼,教学/科研,P1,beiyangyuan/beiyangyuan-main-building-2.jpg,user,,
beiyangyuan,beiyangyuan-main-building,北洋园校区主楼,教学/科研,P1,beiyangyuan/beiyangyuan-main-building-3.webp,user,,
beiyangyuan,beiyangyuan-memorial-pavilion,北洋纪念亭,文化/景观,P1,beiyangyuan/beiyangyuan-memorial-pavilion-1.jpg,user,,
beiyangyuan,beiyangyuan-memorial-pavilion,北洋纪念亭,文化/景观,P1,beiyangyuan/beiyangyuan-memorial-pavilion-2.webp,user,,
beiyangyuan,beiyangyuan-motto-stone,实事求是校训石,文化/景观,P1,beiyangyuan/beiyangyuan-motto-stone-1.webp,user,,
beiyangyuan,beiyangyuan-qiushi-hall,求实会堂,文化/景观,P1,beiyangyuan/beiyangyuan-qiushi-hall-1.jpg,user,,
beiyangyuan,beiyangyuan-qiushi-hall,求实会堂,文化/景观,P1,beiyangyuan/beiyangyuan-qiushi-hall-2.webp,user,,
beiyangyuan,beiyangyuan-qiushi-hall,求实会堂,文化/景观,P1,beiyangyuan/beiyangyuan-qiushi-hall-3.webp,user,,
beiyangyuan,beiyangyuan-sanwen-bridge,三问桥,文化/景观,P1,beiyangyuan/beiyangyuan-sanwen-bridge-1.webp,user,,
beiyangyuan,beiyangyuan-sanwen-bridge,三问桥,文化/景观,P1,beiyangyuan/beiyangyuan-sanwen-bridge-2.png,user,,
beiyangyuan,beiyangyuan-shangxian-stone,尚贤石,文化/景观,P1,beiyangyuan/beiyangyuan-shangxian-stone-1.jpg,user,,
beiyangyuan,beiyangyuan-suzhou-pavilion,苏州亭,文化/景观,P1,beiyangyuan/beiyangyuan-suzhou-pavilion-1.png,user,,
beiyangyuan,beiyangyuan-suzhou-pavilion,苏州亭,文化/景观,P1,beiyangyuan/beiyangyuan-suzhou-pavilion-2.png,user,,
beiyangyuan,beiyangyuan-suzhou-pavilion,苏州亭,文化/景观,P1,beiyangyuan/beiyangyuan-suzhou-pavilion-3.png,user,,
beiyangyuan,beiyangyuan-tju-star,天津大学星,文化/景观,P1,beiyangyuan/beiyangyuan-tju-star-1.jpg,user,,
beiyangyuan,beiyangyuan-xingsun-building,杏荪楼,教学/科研,P1,beiyangyuan/beiyangyuan-xingsun-building-1.jpeg,user,,
beiyangyuan,beiyangyuan-xingsun-building,杏荪楼,教学/科研,P1,beiyangyuan/beiyangyuan-xingsun-building-2.jpeg,user,,
beiyangyuan,beiyangyuan-xingsun-building,杏荪楼,教学/科研,P1,beiyangyuan/beiyangyuan-xingsun-building-3.jpeg,user,,
beiyangyuan,beiyangyuan-xuanhuai-square,宣怀广场,文化/景观,P1,beiyangyuan/beiyangyuan-xuanhuai-square-1.jpg,user,,
beiyangyuan,beiyangyuan-xuanhuai-square,宣怀广场,文化/景观,P1,beiyangyuan/beiyangyuan-xuanhuai-square-2.png,user,,
beiyangyuan,beiyangyuan-xue-1-dining,学一食堂（梅园餐厅）,餐饮,P2,beiyangyuan/beiyangyuan-xue-1-dining-1.jpg,user,,
beiyangyuan,beiyangyuan-xue-1-dining,学一食堂（梅园餐厅）,餐饮,P2,beiyangyuan/beiyangyuan-xue-1-dining-2.jpg,user,,
